date,ram_type,form_factor,avg_price_per_gb,median_price_per_gb,min_price_per_gb,max_price_per_gb,product_count
2025-10-21,DDR4,DIMM,4.7155,,4.7155,4.7155,1
2025-10-22,DDR4,DIMM,4.7155,,4.7155,4.7155,1
2025-10-23,DDR4,DIMM,4.7155,,4.7155,4.7155,1
2025-10-24,DDR4,DIMM,4.7155,,4.7155,4.7155,1
2025-10-25,DDR4,DIMM,4.7155,,4.7155,4.7155,1
2025-10-26,DDR4,DIMM,4.7155,,4.7155,4.7155,1
2025-10-27,DDR4,DIMM,4.7155,,4.7155,4.7155,1
2025-10-28,DDR4,DIMM,4.7155,,4.7155,4.7155,1
2025-10-29,DDR4,DIMM,4.7155,,4.7155,4.7155,1
2025-10-30,DDR4,DIMM,4.7155,,4.7155,4.7155,1
2025-10-31,DDR4,DIMM,4.7155,,4.7155,4.7155,1
2025-11-01,DDR4,DIMM,4.7155,,4.7155,4.7155,1
2025-11-01,DDR4,SODIMM,4.3719,,4.3719,4.3719,1
2025-11-02,DDR4,DIMM,4.7155,,4.7155,4.7155,1
2025-11-02,DDR4,SODIMM,4.3719,,4.3719,4.3719,1
2025-11-03,DDR4,DIMM,4.7155,,4.7155,4.7155,1
2025-11-03,DDR4,SODIMM,4.3719,,4.3719,4.3719,1
2025-11-04,DDR4,DIMM,4.7155,,4.7155,4.7155,1
2025-11-04,DDR4,SODIMM,4.3719,,4.3719,4.3719,1
2025-11-05,DDR4,DIMM,4.7155,,4.7155,4.7155,1
2025-11-05,DDR4,SODIMM,4.3719,,4.3719,4.3719,1
2025-11-06,DDR4,DIMM,4.7155,,4.7155,4.7155,1
2025-11-06,DDR4,SODIMM,4.3719,,4.3719,4.3719,1
2025-11-07,DDR4,DIMM,4.7155,,4.7155,4.7155,1
2025-11-07,DDR4,SODIMM,4.9353,,4.3719,5.4988,2
2025-11-08,DDR4,DIMM,4.7155,,4.7155,4.7155,1
2025-11-08,DDR4,SODIMM,4.9353,,4.3719,5.4988,2
2025-11-09,DDR4,DIMM,4.7155,,4.7155,4.7155,1
2025-11-09,DDR4,SODIMM,4.9353,,4.3719,5.4988,2
2025-11-10,DDR4,DIMM,4.7155,,4.7155,4.7155,1
2025-11-10,DDR4,SODIMM,4.9353,,4.3719,5.4988,2
2025-11-11,DDR4,DIMM,4.7155,,4.7155,4.7155,1
2025-11-11,DDR4,SODIMM,4.9353,,4.3719,5.4988,2
2025-11-12,DDR4,DIMM,4.7155,,4.7155,4.7155,1
2025-11-12,DDR4,SODIMM,4.9353,,4.3719,5.4988,2
2025-11-13,DDR4,DIMM,4.7155,,4.7155,4.7155,1
2025-11-13,DDR4,SODIMM,4.9353,,4.3719,5.4988,2
2025-11-14,DDR4,DIMM,4.7155,,4.7155,4.7155,1
2025-11-14,DDR4,SODIMM,4.9353,,4.3719,5.4988,2
2025-11-15,DDR4,DIMM,4.7155,,4.7155,4.7155,1
2025-11-15,DDR4,SODIMM,4.9353,,4.3719,5.4988,2
2025-11-16,DDR4,DIMM,4.7155,,4.7155,4.7155,1
2025-11-16,DDR4,SODIMM,4.9353,,4.3719,5.4988,2
2025-11-17,DDR4,DIMM,4.7155,,4.7155,4.7155,1
2025-11-17,DDR4,SODIMM,4.7475,,4.3719,5.4988,3
2025-11-18,DDR4,DIMM,4.7155,,4.7155,4.7155,1
2025-11-18,DDR4,SODIMM,4.7475,,4.3719,5.4988,3
2025-11-19,DDR4,DIMM,5.3263,,4.7155,5.9372,2
2025-11-19,DDR4,SODIMM,4.7475,,4.3719,5.4988,3
2025-11-20,DDR4,DIMM,5.1862,,4.7155,5.9372,3
2025-11-20,DDR4,SODIMM,4.9443,,4.3719,5.4988,7
2025-11-21,DDR4,DIMM,5.1862,,4.7155,5.9372,3
2025-11-21,DDR4,SODIMM,5.0886,,4.3719,5.7406,9
2025-11-22,DDR4,DIMM,5.1862,,4.7155,5.9372,3
2025-11-22,DDR4,SODIMM,5.0116,,4.3188,5.7406,10
2025-11-23,DDR4,DIMM,5.1862,,4.7155,5.9372,3
2025-11-23,DDR4,SODIMM,5.0116,,4.3188,5.7406,10
2025-11-24,DDR4,DIMM,5.4926,,4.7155,6.4119,4
2025-11-24,DDR4,SODIMM,4.9765,,4.3188,5.7406,11
2025-11-24,DDR5,DIMM,7.5937,,7.5937,7.5937,1
2025-11-25,DDR4,DIMM,5.7226,,4.7155,6.5622,8
2025-11-25,DDR4,SODIMM,5.036,,3.9875,5.9372,15
2025-11-25,DDR5,DIMM,9.755,,7.5937,10.9374,6
2025-11-26,DDR4,DIMM,5.7226,,4.7155,6.5622,8
2025-11-26,DDR4,SODIMM,5.0646,,3.9875,5.9372,16
2025-11-26,DDR5,DIMM,10.1272,,7.5937,12.4997,13
2025-11-27,DDR4,DIMM,5.7217,,4.7155,6.5622,10
2025-11-27,DDR4,SODIMM,5.0646,,3.9875,5.9372,16
2025-11-27,DDR5,DIMM,10.1727,,7.5937,12.4997,15
2025-11-27,DDR5,SODIMM,9.3747,,9.3747,9.3747,2
2025-11-28,DDR4,DIMM,5.8149,,4.7155,8.1461,16
2025-11-28,DDR4,SODIMM,5.2093,,3.9875,7.7825,21
2025-11-28,DDR5,DIMM,10.3194,,7.5937,12.5209,16
2025-11-28,DDR5,SODIMM,9.2842,,9.0625,9.3747,5
2025-11-29,DDR4,DIMM,5.7634,,4.7155,8.1461,18
2025-11-29,DDR4,SODIMM,5.1201,,3.2475,7.7825,22
2025-11-29,DDR5,DIMM,10.493,,7.5937,14.1097,20
2025-11-29,DDR5,SODIMM,9.0389,,7.8122,9.3747,6
2025-11-30,DDR4,DIMM,5.9664,,4.7155,8.1461,23
2025-11-30,DDR4,SODIMM,5.2189,,3.2475,7.8997,26
2025-11-30,DDR5,DIMM,10.7995,,7.5937,18.6813,27
2025-11-30,DDR5,SODIMM,8.9529,,7.8122,9.3747,7
2025-12-01,DDR4,DIMM,6.039,,4.7155,8.1461,26
2025-12-01,DDR4,SODIMM,5.144,,3.2475,7.8997,31
2025-12-01,DDR5,DIMM,10.694,,6.1956,18.6813,36
2025-12-01,DDR5,SODIMM,8.4137,,6.2811,9.3747,10
2025-12-02,DDR4,DIMM,6.039,,4.7155,8.1461,26
2025-12-02,DDR4,SODIMM,5.1297,,3.2475,7.8997,32
2025-12-02,DDR5,DIMM,10.599,,6.1956,18.6813,39
2025-12-02,DDR5,SODIMM,8.1289,,5.2809,9.3747,11
2025-12-03,DDR4,DIMM,6.1082,,4.7155,8.1461,28
2025-12-03,DDR4,SODIMM,5.1297,,3.2475,7.8997,32
2025-12-03,DDR5,DIMM,10.5263,,6.1956,18.6813,41
2025-12-03,DDR5,SODIMM,8.1289,,5.2809,9.3747,11
2025-12-04,DDR4,DIMM,5.9102,,2.5975,8.1461,32
2025-12-04,DDR4,SODIMM,5.0635,,2.945,7.8997,33
2025-12-04,DDR5,DIMM,10.4399,,6.1956,18.6813,45
2025-12-04,DDR5,SODIMM,8.2327,,5.2809,9.3747,12
2025-12-05,DDR4,DIMM,5.9102,,2.5975,8.1461,32
2025-12-05,DDR4,SODIMM,5.0594,,2.945,7.8997,33
2025-12-05,DDR5,DIMM,10.5224,,6.1956,18.6813,48
2025-12-05,DDR5,SODIMM,8.0708,,5.2809,9.3747,13
2025-12-06,DDR4,DIMM,5.9102,,2.5975,8.1461,32
2025-12-06,DDR4,SODIMM,5.0956,,2.945,7.8997,33
2025-12-06,DDR5,DIMM,10.514,,6.1956,18.6813,50
2025-12-06,DDR5,SODIMM,8.0708,,5.2809,9.3747,13
2025-12-07,DDR4,DIMM,5.9527,,2.5975,8.1461,33
2025-12-07,DDR4,SODIMM,5.0956,,2.945,7.8997,33
2025-12-07,DDR5,DIMM,10.6961,,6.1956,22.6841,52
2025-12-07,DDR5,SODIMM,8.0708,,5.2809,9.3747,13
2025-12-08,DDR4,DIMM,5.9527,,2.5975,8.1461,33
2025-12-08,DDR4,SODIMM,5.0955,,2.945,7.8997,33
2025-12-08,DDR5,DIMM,10.6961,,6.1956,22.6841,52
2025-12-08,DDR5,SODIMM,8.0708,,5.2809,9.3747,13
2025-12-09,DDR4,DIMM,5.8469,,2.3559,8.1461,34
2025-12-09,DDR4,SODIMM,5.0211,,2.6756,7.8997,34
2025-12-09,DDR5,DIMM,10.6961,,6.1956,22.6841,52
2025-12-09,DDR5,SODIMM,8.2559,,5.2809,9.7497,13
2025-12-10,DDR4,DIMM,5.8469,,2.3559,8.1461,34
2025-12-10,DDR4,SODIMM,5.0404,,2.6756,7.8997,34
2025-12-10,DDR5,DIMM,10.6961,,6.1956,22.6841,52
2025-12-10,DDR5,SODIMM,8.2559,,5.2809,9.7497,13
2025-12-11,DDR4,DIMM,5.9276,,2.3559,9.852,34
2025-12-11,DDR4,SODIMM,5.0484,,2.6756,7.8997,34
2025-12-11,DDR5,DIMM,10.8667,,6.1956,22.6841,55
2025-12-11,DDR5,SODIMM,8.2559,,5.2809,9.7497,13
2025-12-12,DDR4,DIMM,5.9276,,2.3559,9.852,34
2025-12-12,DDR4,SODIMM,5.0484,,2.6756,7.8997,34
2025-12-12,DDR5,DIMM,10.9764,,6.1956,22.6841,55
2025-12-12,DDR5,SODIMM,8.2559,,5.2809,9.7497,13
2025-12-13,DDR4,DIMM,5.9276,,2.3559,9.852,34
2025-12-13,DDR4,SODIMM,5.0484,,2.6756,7.8997,34
2025-12-13,DDR5,DIMM,10.9291,,6.1956,22.6841,56
2025-12-13,DDR5,SODIMM,8.5277,,5.2809,12.0619,14
2025-12-14,DDR4,DIMM,5.9276,,2.3559,9.852,34
2025-12-14,DDR4,SODIMM,5.0484,,2.6756,7.8997,34
2025-12-14,DDR5,DIMM,10.8426,,5.9997,22.6841,57
2025-12-14,DDR5,SODIMM,8.5277,,5.2809,12.0619,14
2025-12-15,DDR4,DIMM,5.9314,,2.3559,9.852,35
2025-12-15,DDR4,SODIMM,5.1121,,2.6756,7.8997,34
2025-12-15,DDR5,DIMM,10.8426,,5.9997,22.6841,57
2025-12-15,DDR5,SODIMM,8.5394,,5.2809,12.0619,15
2025-12-16,DDR4,DIMM,5.9229,,2.3559,9.852,36
2025-12-16,DDR4,SODIMM,5.0812,,2.6756,7.8997,35
2025-12-16,DDR5,DIMM,10.8426,,5.9997,22.6841,57
2025-12-16,DDR5,SODIMM,8.5394,,5.2809,12.0619,15
2025-12-17,DDR4,DIMM,5.9229,,2.3559,9.852,36
2025-12-17,DDR4,SODIMM,5.0812,,2.6756,7.8997,35
2025-12-17,DDR5,DIMM,10.7597,,5.9997,22.6841,58
2025-12-17,DDR5,SODIMM,8.7088,,5.2809,12.0619,16
